N, V, Time (ms)
10000000, 2, 627.144
10000000, 4, 672.786
10000000, 8, 684.598
10000000, 16, 902.464
10000000, 32, 685.101
10000000, 64, 662.221
10000000, 128, 821.609
10000000, 256, 798.88
