N, V, Time (ms)
100000, 2, 8.34453
100000, 4, 9.44049
100000, 8, 8.67761
100000, 16, 8.91335
100000, 32, 6.25543
100000, 64, 7.33105
100000, 128, 9.64935
100000, 256, 7.25363
