N, V, Time (ms)
10000, 2, 0.787275
10000, 4, 0.663609
10000, 8, 0.713382
10000, 16, 0.899299
10000, 32, 0.6051
10000, 64, 0.782344
10000, 128, 0.909231
10000, 256, 0.801899
