N, V, Time (ms)
1000000, 2, 77.8925
1000000, 4, 76.5872
1000000, 8, 72.5828
1000000, 16, 75.8543
1000000, 32, 69.1145
1000000, 64, 65.6371
1000000, 128, 72.7729
1000000, 256, 70.4742
